"","question"
"292","보험이 왜 필요하다고 생각하는가?"
"293","행복은 무엇이라고 생각하는가?"
"294","스트레스 해소법은?"
"295","회사에 지원한 이유"
"296","전 회사 퇴사 사유들 질문"
"297","야근이 발생해도 괜찮은가"
"298","다른 회사 어디 썼나"
"299","회사를 선택한 이유"
"300","산업에 대한 이해"
"301","나의 가치관은?"
"302","전 직장 퇴사시 퇴사이유?"
"303","회사 지원동기는?"
"304","현대제철을 모르는 사람에게 현대제철을 소개한다면?"
"305","지원동기는?"
"306","일을 잘하는 것과 열심히 하는 것 중 더 중요한 것은?"
"307","가장 많이 사용하는 엑셀 함수는?"
"308","경력과 다른 직무일 경우, 경력과 다른 직무인데 지원하게 된 이유는?"
"309","지원자분을 뽑아야되는 이유는?"
"310","자기소개 필수"
"311","일이 힘들때 어떻게 대처하는지"
"312","출퇴근 관련 질문"
"313","어떤일을 해왔는가 ?"
"314","우리회사장점은?"
"315","우리회사의 신제품이 뭐있는가?"
"316","자기소개"
"317","경력직무 상세질문"
"318","마지막 한마디"
"319","자기소개"
"320","지원동기"
"321","직무경험"
"322","은행에 지원하게 된 계기?"
"323","기업은행 지점에 방문해본 경험?"
"324","이력서 기반 경험면접"
"325","일의 가치는 무엇이라 생각하는가?"
"326","본인의 전공외에 플랜트 다른 분야에 대해서 아는 지식이 있는가?"
"327","철손에 대해서 설명하시오."
"328","어디사느냐"
"329","경험있느냐"
"330","나이"
"331","이직하려는 사유는?"
"332","지금까지의 경력에 대해 간단하게 소개 후 현재 맡고 있는 업무 설명."
"333","현재 하고 있는 업무 외에 다른 업무 수행도 가능한가?"
"334","회사에 대해 얼마나 아는지"
"335","정산업무에 대해 얼마나 아는지"
"336","본인의 강점은"
"337","실 업무내용 물어봄"
"338","복지"
"339","복지"
"340","경력 마지막근무지"
"341","Erp사용기능여부"
"342","엑셀 사용여부"
"343","회사에 지원하게된 이유"
"344","하게될 일이 생각보다 단조로울수 있는데 괜찮은지"
"345","영어는 잘 하는지"
"346","성적관리는 어떻게 했는지?"
"347","여러명의 선배들이 동시에 일 시키는데 다 급하다 하면 누구꺼 먼저 처리할건지?"
"348","신입사원으로서 선배들과 친해지기위해 어떻게 행동할건지?"
"349","나이가 너무 어린데, 근무 잘 하실수 있으세요?"
"350","어디에 사세요?"
"351","회사경력있으신가요?"
"352","사는지역?"
"353","가족?"
"354","성격은?"
"355","회사에 지원하게된 동기"
"356","자기자신에 대한 평가"
"357","자기가 이회사에 필요하다생각하는 이유는"
"358","성격의 장단점"
"359","회사의 홈페이지중 가장 기억에 남는 것"
"360","개개인의 활동 내용"
"361","특이한 경력사항이 있는데 왜 자사에 지원했는지"
"362","일이 힘든데 괜찮은지"
"363","회사를 선택한 이유"
"364","Ex) 경력사항에 대한 상세한 질문"
"365","Ex) 엑셀 사용 능력"
"366","Ex) 근무 가능 기간"
"367","자기소개해보세요"
"368","영어로 이야기해보세요"
"369","어떤 일을 하고싶어요"
"370","회사를 선택한 이유?"
"371","스트레스 해소법?"
"372","기업의 사회적 역할이 무엇?"
"373","결혼유무"
"374","왜 나를 불렀을까? 하고 역으로 물어봄"
"375","만족하는 연봉"
"376","무슨일을 했는가?"
"377","연봉은 얼마를 받았었는가?"
"378","도전정신이 있는가?"
"379","경력사항"
"380","강점"
"381","평균급여"
"382","지원동기"
"383","최근 즐거웠던 일"
"384","자신을 한문장으로 표현하는 좌우명"
"385","어디사냐?"
"386","교대근무 가능하냐?"
"387","기숙사필요하냐??"
"388","어학점수 이외에 해외경험 있나?"
"389","해외에서 불편했던 점은?"
"390","근무지에 적응할 수 있겠나?"
"391","입사지원 동기"
"392","전직에서의 업무"
"393","3조 2교대 근무 가능여부"
"394","재직 가능 기간"
"395","향후계획"
"396","자기 소개"
"397","지원 동기"
"398","이전 직장의 주 업무"
"399","본인이 맡게 될 직무에 대하여 어느 정도의 이해도가 있는가?"
"400","입사 후 어떠한 기여를 할 수 있는지"
"401","고객님이 원하는 상품이 결품이 되었을때 어떻게 대처를 할것인가?"
"402","여러가지 유통회사가 있는데 왜 GS인가?"
"403","지금 까지 일을 해오면서 성공 실패 사례"
"404","교대근무를 해봤는지 어떻게 생각하는지"
"405","회사의 장단점 그리고 선택한 이유"
"406","자기소개1분과 마지막 한마디"
"407","교대근무 할 수 있는가?"
"408","체력관리 어떻게 하는가?"
"409","친구랑 만나면 무엇을 하며 노는가?"
"410","살면서 가장 기뻣던점"
"411","살면서 가장 힘들었던점"
"412","힘들었을때 극복과정"
"413","이전 직장에서 방진복을 착용하고 근무했나?"
"414","성적이 좋은데 학업을 마치고 더 좋은 곳으로 가지 않고 여기 온 이유?"
"415","면접자보다 어린 친구들이 선배인데 적응이 가능하겠나?"
"416","갈등상황에서 어떻게 해결했는지, 어떻게 리더십을 발휘했는지 경험"
"417","본인에 대한 주위의 평가"
"418","가장 인상적이였던 박람회부스(박람회 갔었다는 대답에대한 질문)"
"419","학업 이외에 열정적으로 임했던 경험"
"420","이 직무에 지원한 이유"
"421","회사나 직무 관련 사회경험이 있는지"
"422","백회점에서 일해 본 적 있나요?"
"423","우리 회사를 선택한 이유는?"
"424","lg브랜드 화장품 중에 얼마나 아나요?"
"425","본인의 좌우명은?"
"426","어느 위치까지 올라가고 싶은가?"
"427","회사 지원동기"
"428","이전 회사에서 퇴사한 사유"
"429","통근 하는데 문제는 없는지?"
"430","출근시간이 이른데 괜찮은지?"
"431","좋은 서비스를 하기 위한 승무원으로써의 자질은?"
"432","우리 회사의 단점과 개선방법"
"433","자신이 뽑혀야 한다고 생각하는것 한문장으로?"
"434","경력에 대한 질문들"
"435","어떤 비전을 가지고 있는지"
"436","대한항공에 대한 생각들"
"437","남들보다 이것만큼은 자신있다 하는것"
"438","살면서 힘들었던 경험"
"439","자기소개"
"440","서비스란 무엇인가?"
"441","해당 직종을 위해 노력한 것은 무엇인가?"
"442","기내 상황 롤플레이"
"443","대한항공에 관심을 가지게 된 계기는?"
"444","입사 후 하고 싶은 일"
"445","입사를 하기 위해 노력한 점"
"446","자신의 강점"
"447","이전 직장에서 무슨일을 했는지"
"448","승무원이 되고싶은 이유"
"449","우리 회사에 대해서 얼마나 아는지?"
"450","테라타워가 무슨 브랜드인지 아는지?"
"451","맡은 직무가 하는 일이 뭔지 아는지?"
"452","이전 회사에서는 어떤 업종의 회사이며, 어떤 일을 하였급니까?"
"453","당신의 인간관계는 어떻다고 생각하십니까?"
"454","해야 할 일과 하고 싶은 일 중 어떤 것을 선택하겠습니까?"
"455","지원한 업무에 대해 얼마나 알고있는지 질문"
"456","현대 소속이지만 파견 업무라 힘들다는것을 강조하며 할수있는지 질문"
"457","그전에 다녔던 회사에 대해 어떤일을 하고 어떤회사인지에 대한 질문"
"458","전기시공 관리 에서 발주처 대응에 대한 질문"
"459","인지도 면 에서 좋다"
"460","연봉이 높다"
"461","TWA 값에 대해 알고있는 물질 이야기해보세요"
"462","현대엔지니어링에 대해 알고 있는 것을 말해주세요"
"463","이전회사의 퇴사사유는?"
"464","대기업을 그만둔 이유"
"465","자신만이 가지고 있는 핵심역량"
"466","회사 입사 후 포부"
"467","2년제 비서과와 4년제 비서과의 차이점"
"468","비서자격증이 무엇인지 설명해라"
"469","회사에 대해 알고 있나"
"470","프로젝트 진행 시 담당했던 역할과 개발한 기능은?"
"471","프로젝트 진행하면서 발생했던 문제점은?"
"472","취업 외에 관심있는 것이 있다면?"
"473","직무설명"
"474","최근 했던 직무 설명"
"475","직무 경험시 문제였던 점"
"476","현재 회사도 좋은데 lg화학을 지원한 이유는?"
"477","자기소개 1분"
"478","자기 소개에서 말한 경력사항을 자세히 말해보세요"
"479","경력이 짧은데 왜 당신을 뽑아야하는지 이유를 말해보세요"
"480","오는 거리"
"481","단기로 할수 있는지"
"482","스캔업무 경험 있는지"
"483","백회점에서 일해 본 적 있나요?"
"484","우리 회사를 선택한 이유는?"
"485","lg브랜드 화장품 중에 얼마나 아나요?"
"486","특이한 경력사항이 있는데 왜 자사에 지원했는지"
"487","일이 힘든데 괜찮은지"
"488","회사를 선택한 이유"
"489","Ex) 경력사항에 대한 상세한 질문"
"490","Ex) 엑셀 사용 능력"
"491","Ex) 근무 가능 기간"
"492","자신의 미래의 종착지와 LG화학을 연관시켜 애기해보세요"
"493","자기 자신을 한가지 단어로 표현하고 이유를 말해보세요"
"494","자격증을 왜 많이 땄는지"
"495","자신이 딴 자격증은 LG화학에게 어떤 도움이 되는지"
"496","자신이 집과 먼 곳에서 근무하게 된다면 직무에 지장이 가지는 않는지"
"497","경력을 토대로한 자기소개"
"498","LG화학에서의 업무 계획"
"499","지원 동기"
"500","경력 사항에 대한 상세한 질문"
"501","이직 사유"
"502","근무지(평택, 서산)에 대한 본인의 견해"
"503","성격장단점"
"504","자기소개1분"
"505","뜬금없는질문1개"
"506","경력 사항에 대한 질문 (다니던 회사에서 어떤 업무)"
"507","영문 이메일 작성 가능 여부"
"508","평소 업무 처리 스타일 (빠르게/정확하지만 천천히/선배들과 상의하여 등)"
"509","자바 개발 경력이 있나요?"
"510","현대상선이 어떤 회사 인지 아나요?"
"511","오라클 실력이 어떻게 되나요?"
"512","본인이 가지고 있는 경력을 현대상선에서 어떻게 성과를 낼 수 있나요?"
"513","자금 조달 업무 관련하여 유사 혹은 동일 업무를 경험한 적이 있는가?"
"514","계약직으로 근무한 회사에서 이직한 사유는 무엇인가?"
"515","현재 회사 업무 중에서 가장 벅찼던 업무는 어떤것인지?"
"516","주량, 학창시절 성적 관련 개인 질문"
"517","경력 사항에 대한 상세질문"
"518","회사 제품에 대한 설명과 제품을 어떤 방식으로 설계 할 수 있는가"
"519","방금 한 질문에 대한 대답을 영어로 해 주세요."
"520","취미와 가족사항, 가족들은 뭐하는지? 주말에 뭐하고 지내는지"
"521","자기소개를 해보세요"
"522","본인 전공을 지원 직무에 응용할 방안에 대해 생각해본 것이 있나"
"523","자소서에 oo내용을 지원 동기라고 적었는데, 좀 더 상세하게 설명해줄 수 있나"
"524","경력사항"
"525","지원을하게된이유"
"526","입사후포부"
"527","1분자기소개"
"528","취미,특기"
"529","자신의 장단점"
"530","15년 후 자신의 모습"
"531","자신의 별명은?"
"532","마지막으로 할 말"
"533","회사에 대해 알고 있는가?"
"534","취미생활 중 (책) 어떤 걸 하였는가?"
"535","쉬는 기간동안 뭐했는지"
"536","본인에 대해서 경력위주로 소개해보시오."
"537","소비자 입장으로서 스타필드의 장단점은?"
"538","전회사와 신세계프라퍼티의 차이점은?"
"539","지원하게 된 이유"
"540","평소 우리 브랜드에 대한 관심이 있는지"
"541","우리 회사의 경쟁사는?"
"542","근무조건"
"543","품질관리선택이유"
"544","없습니다"
"545","회사 외식 브랜드에서 일을 하거나 소비자가 된 적이 있나"
"546","이 일과 비슷한 직무를 경험해 본 적 있나"
"547","자신만의 장점을 얘기할 수 있나"
"548","베이커리의 일을 하지 않았던 이유는?"
"549","베이커리에서 일하는 선배들의 조언?"
"550","자신의 비전에 대하 말해라"
"551","해당라인에 품질관리자라면 어떻게운영할지?"
"552","할랄 해보았는지어떤점이 어려운지?"
"553","haacp의 맹점?"
"554","1분자기소개 및 퇴사이유?"
"555","생산관리 직무를 수행함에 있어 개선내용"
"556","재직했었던 회사의 생산환경과 프로레스, 도급운영방식"
"557","왜 굳이 동일업종으로 지원했는지?"
"558","자기소개"
"559","직무관련 알고있는 내용 질문"
"560","장단점"
"561","실패했던 경험"
"562","자기소개"
"563","우리 회사의 강점은?"
"564","이전 직장 퇴사 사유"
"565","경력 사항에 대한 질문"
"566","자기소개"
"567","우리 회사의 강점은?"
"568","경력 사항에 대한 질문"
"569","이전 직장 퇴사 사유"
"570","궁금한 점 있는지..."
"571","EBG를 통해서 이룬 성과"
"572","여러 업무를 경험가능"
"573","옷을 좋아해서"
"574","지원하게된 계기"
"575","다른브랜드와 다른점은"
"576","클레임이 들어왔을때 대처방법"
"577","제출한 포토폴리오 작업시간 얼마나 걸렸나요?"
"578","이정도 작업물은 시간이 얼마나 걸리나요?"
"579","하고싶은 말은?"
"580","지원하게 된 이유"
"581","평소 우리 브랜드에 대한 관심이 있는지"
"582","우리 회사의 경쟁사는?"
"583","팀워크에서 중요한것은?"
"584","회사에 대해 아는점은?"
"585","어떤 업무를 맡고싶은지?"
"586","업무 경력"
"587","지원동기"
"588","근무시간과 인간관계"
"589","기존하던 업무와 다른 업무로 지원한 이유?"
"590","기존 퇴사사유를 보니 워라밸을 중시하는거 같은데?"
"591","업무관련 갈등이 발생했을때 어떻게 해결할지?"
"592","관련경력 및 프로젝트에 대해 문의"
"593","현재 카카오의 캐릭터/콘텐츠와 콜라보레이션하면 어울릴 브랜드"
"594","본인보다 나이가 적은 동료나 상사와 일해본적 있는지(불펴한점이 없을지)"
"595","자기소개서"
"596","어느 부서로 가고싶은가"
"597","반복되는 업무 괜찮은가"
"598","전 직장에서는 왜 그만두었나"
"599","전 직장에서 어떤일을 했었나"
"600","유럽은 얼마동안 다녀온건가"
"601","자신의 장점 어필"
"602","이전 업무와 괴리감이 느껴지면 어떻게 극복하겠습니까"
"603","하이마트에 대해 말해보시오"
"604","이직이유"
"605","우리 회사에 지원한 이유는?"
"606","취미생활이 뭔가요?"
"607","알바경력 있어요?"
"608","동종업계 경력"
"609","회사에 방문해 본적이 있는지"
"610","마지막 할말"
"611","스트레스 해소법"
"612","아르바이트 경험 유무"
"613","회사에 지원하게 된 이유"
"614","하이마트 매장에 개선되어야 할 점"
"615","자신의 인생에서 목표를 이루었던 점"
"616","경력 사항에 대한 자세한 질문"
"617","전공에 관련된 질문"
"618","회사에 궁금한 점"
"619","마곡 집값비싼데 괜찮겠느냐??"
"620","실제로 그 제품은 얼마나 사용되는가?"
"621","기타 제 경력발표중 궁금한것 질문"
"622","경력에 관한 사항"
"623","한국주택 금융공사에 대한 이미지"
"624","회사 지원 동기"
"625","성형외과를 근무했다고 되어있던데 강성 컴플레인의 구체적 예시와 답변을 어떻게 했었는지 말씀해주세요."
"626","BMW에 지원하게된 입사 동기를 이야기해보세요."
