"","question"
"5515","창업대회 참여경력이 있던데, 나중에 창업할 생각이 있습니까? 아니라면 왜 아닌지 설득해 보시오."
"5516","핸드폰을 팔아보시오."
"5517","PT면접때 이전 세대가 요즘 젊은 세대에게 너무 고생하지 않으려고 한다는데, 이에 대해 어떻게 생각하는가?"
"5518","배경환경을 설명하시오."
"5519","지원동기를 설명하시오."
"5520","회사의 약점이라고 생각하는 부분이 무엇이라고 생각하는가?"
"5521","개인역량을 설명하시오."
"5522","지원동기를 밝히시오."
"5523","직무관련 상식 질문에 답하시오."
"5524","SK네트워크의 미래 사업계획에 대한 대안을 말하시오."
"5525","급여가 적당한가요?"
"5526","한화생명에 대해 아는 것이 있나요?"
"5527","지원동기는?"
"5528","본인 성격은 어떤가?"
"5529","지원자의 자기소개서를 보면 다른 업종이 맞는 것같은데, 왜 한화생명에 지원하였습니까?"
"5530","지원자의 자기소개서를 보면 개인이 한것이 많은데, 팀으로 이뤘던 경험이 있습니까?"
"5531","해외 경험이 있는데, 해외 취업 생각한 적 있나요?"
"5532","보험업이 뭐라고 생각하나요?"
"5533","영업관리는 사람을 다루는 것인데 자신만의 장점은?"
"5534","보험 아주머니들끼리 파벌이 나뉘고 사이가 안좋아 싸운다면 지점장으로 어떻게 행동할 건가요?"
"5535","1분 자기소개를 해주세요"
"5536","마지막으로 할 말이 있나요?"
"5537","과거 업무를 진행할때에 고객들과의 갈등을 어떻게 해소했나요?"
"5538","서비스업무와 자신이 맞는다고 생각하는가?"
"5539","여기에 오기 위해 무엇을 하였는가?"
"5540","친구들과 면접 준비를 할 때, 어떤 역할이였는지?"
"5541","면접관역활을 할 때 누구를 뽑고 싶었는가?"
"5542","남들이 평가는 본인의 장점 단점을 말해 보시오"
"5543","한화생명에 아는대로 말해보세요"
"5544","학장시절에 했던 프로젝트에 대해 말해보세요."
"5545","경력이 다른 지원자들에 비해 없는데 자신을 어필해보세요"
"5546","한화생명에 대해 어떻게 생각하는가?"
"5547","한화생명 주력 상품에 대해 말해보세요"
"5548","1. 판매 활성화 방안으로 제시한 방안의 단점은 무엇인가?"
"5549","2. 가장 최근에 실패했던 경험은 무엇이 있는가?"
"5550","3. 가장 최근에 남을 도운 경험을 말해봐라"
"5551","현금 없는 사회가 도래하는 과정에서 생기는 문제는 무엇이라고 생각하는가?"
"5552","공부하면서 힘들지 않았는가?"
"5553","지원자가 내세울만한 장점이 있는가?"
"5554","한화생명에 입사하기 위해서 어떤 노력을 하였나요?"
"5555","지점장이 된다면 어떤 리더십을 보이고 싶은가요?"
"5556","학창시절 가장 힘들었던 경험은 무엇인가요?"
"5557","이전에 하던 업무가 HR 보다는 기획에 가까운데, 적응할 수 있겠는가?"
"5558","인사를 지원했는데, 영업에도 관심이 있는가? 영업에 관심이 있다면 영업이 무엇이라고 생각하는가?"
"5559","보험회사에 지원한 이유는 무엇인가?"
"5560","생명보험 기획 직무에 있어서 지원자의 강점은 무엇입니까?"
"5561","2030 마케팅 방안에 대해 설명해 보시오."
"5562","성격의 장단점은 무엇입니까?"
"5563","성장 과정에 대해 말해보시오."
"5564","자기소개를 해보시오."
"5565","지원동기와 포부를 이야기 해보시오."
"5566","학점이 낮은데, 대외 활동도 많이 없는 것에 대해 어떻게 생각합니까?"
"5567","SNS가 사회에 미치는 영향은 무엇입니까?"
"5568","생명보험 기획직무에 있어서 본인의 강점은 무엇입니까?"
"5569","많은 기업 중 왜 한화에 지원했습니까?"
"5570","왜 마케팅 직무를 지원 했습니까?"
"5571","가장 힘들었던 경험에 대해 말해보세요."
"5572","마지막으로 하고 싶은 말이 있다면 해보세요."
"5573","미래에 어떤 사람이 되고 싶은가요?"
"5574","살아오면서 가장 크게 느꼈던 성취감에 대해 말해보세요."
"5575","아르바이트를 많이 했는데, 영업을 해본 경험이 있나요?"
"5576","영업관리직에 지원했는데, 영업직을 수행하기 위한 어떤 필요 역량을 갖췄나요?"
"5577","장교로 생활하며 힘들었던 점이 있었나요?"
"5578","지원자의 장단점에 대해 말해보세요."
"5579","공부를 더 하고 싶은 생각은 없는가"
"5580","교환학생을 다녀왔는데 무엇을 느꼈는가"
"5581","대한생명 보험상품"
"5582","대한생명에 근무하는 아는 선배가 있는가"
"5583","마지막으로 하고 싶은 말이 있으면 해봐라"
"5584","방카슈랑스"
"5585","보험영업을 한마디로 정리하면?"
"5586","비과세 문제"
"5587","생명보험의 중요성"
"5588","영어를 잘 할 것 같은데 어떤가"
"5589","기준 금리에 대한 질문"
"5590","무엇을 판매 해 본 경험이 있는가?"
"5591","자신의 별명을 말해보세요."
"5592","이것저것 목표가 많은 것 같은데 입사 후에 업무와 어떻게 병행할 것인가"
"5593","기업에서 소통을 활성화 할수 있는 방안을 제시하시오."
"5594","본인이 영업관리직무에 왜 적합하다고 생각하는가?"
"5595","팀원간 의견충돌이 있을때 어떤 기준으로 대처할 것인가?"
"5596","10억을 일주일 안에 다 써야 한다면 어떻게 할 것인가? 단 토지 구입은 할 수 없다"
"5597","공익으로 간 이유는 무엇인가?"
"5598","대한생명 말고 다른곳을 지원했는가?"
"5599","도전한 경험에 대해 말해보세요"
"5600","본인의 피해를 감수하고 조직의 규칙에 따라 행동한 적이 있는가?"
"5601","인턴을 하면서 느낀점을 말해보세요"
"5602","자기소개를 해보세요"
"5603","지원동기는 무엇인가?"
"5604","창의적인 아이디어를 낸 적이 있는가?"
"5605","홍콩에서 살다 왔는데 홍콩에서 사는 것은 어떠한가?"
"5606","간단한 자기소개"
"5607","갈등상황에서 어떻게 조율할 것인가"
"5608","고객에게 손편지를 쓸 수 있나"
"5609","머리카락의 개수는?"
"5610","왜 한화생명을 지원했나"
"5611","자소서를 보면 성격이 영업에 어울릴 거 같지 않다. 어떻게 생각하나"
"5612","자신의 말투로 인해 클레임이 생겼을 경우 대처방안은?"
"5613","지원동기"
"5614","한화생명의 사회공헌활동에 대해서 아는대로 말해보라"
"5615","회사가 멀어도 다닐 수 있나"
"5616","슬럼프를 극복하는 방법은 무엇인가요?"
"5617","한국수력원자력에 지원한 이유는 무엇인가요?"
"5618","해외사업직무에 지원한 이유는 무엇인가요?"
"5619","울진과 같은 원격지에 배치받으면 어떻게 하실 것입니까?"
"5620","MCNP / GEANT4에 대해, 각각의 장단점을 비교하고 짧게 설명해보세요."
"5621","본인의 학력이나 관심사를 보면 진학 기회가 분명 있었음에도 불구하고 왜 진학하지 않았습니까?"
"5622","인생에서 가장 힘들었던 순간이 언제이고 어떻게 본인은 행동을 했나요?"
"5623","유동인구, 사용시간, 근무외 시간 등을 활용하여 20층 건물의 엘리베이터를 운영하는 방법예 대해 말해보시오."
"5624","자신이 개혁적으로 한 행동을 말해보시오."
"5625","지역과의 상생방안을 말해보시오."
"5626","본인이 지원분야에 대해 업무를 수행하기 위해 그동안 노력했던 점은 무엇입니까?"
"5627","일감 몰아주기와 관련하여 회사 이미지 회복 방안을 말해보시오."
"5628","기술직인데 무슨 기계를 다루고 싶나요?"
"5629","만약 본인이 뇌물로 10만원 받는 것을 목격한다면 어떤 행동을 취할 건가요?"
"5630","지원동기는 무엇인가요?"
"5631","취미가 무엇인가요?"
"5632","한국수력원자력에 대해서 아는 대로 말해보세요."
"5633","한수원에 대해서 아는 것이 있나요?"
"5634","한수원에서 이루고 싶은 목표가 있나요?"
"5635","회사 입사 후 계획에 대해 말해보시오."
"5636","대학 전공을 택한 이유가 있습니까?"
"5637","베르누이의 법칙에 대해 설명하시오."
"5638","살면서 가장 도전적이었던 경험을 말해보시오 ."
"5639","최근에 읽은 신문 기사는 무엇입니까?"
"5640","성공하는 사람의 기준이 무엇인가?"
"5641","영어로 자기소개해보시오."
"5642","원자력의 장점을 나열해보시오."
"5643","한국가스공사를 최종 탈락 하셨는데, 지원자가 왜 탈락한 것 같은가?"
"5644","한수원이 가장 중요시해야 할 가치는 무엇인가?"
"5645","해외개발도상국가에 원자력을 수출하는 방법은 무엇인가?"
"5646","형용사 5개로 자신을 설명해보시오."
"5647","교대 근무 가능한가요?"
"5648","베르누이 법칙에 대해 설명해보세요."
"5649","부당행위를 하는 상사에게 어떻게 대처할 건가요?"
"5650","결과와 과정 중 더 중요한 것은 무엇이라고 생각합니까?"
"5651","살면서 가장 어려웠던 순간은 언제입니까?"
"5652","원자력의 장점은 무엇이라고 생각합니까?"
"5653","직무와 관련된 프로젝트 경험이 있습니까?"
"5654","프로의식에 대해 어떻게 생각합니까?"
"5655","지원자가 한수원에 오면 기여할 수 있는 점은 무엇입니까?"
"5656","면접용이 아닌 본인의 단점은 무엇입니까?"
"5657","시간을 줄테니 본인 자랑을 해보세요."
"5658","열역학 0-3법칙 설명하라"
"5659","서울 다산콜센터 직원이 하루에 민원을 몇 건 받겠는가?"
"5660","혹시 지금 다섯 명 중에 누가 합격했으면 좋겠습니까?"
"5661","한국수력원자력이 지역주민과의 갈등을 풀어나갈 방법을 제시해보세요"
"5662","지금있는 지원자 중에서 자신이 뽑혀야 한다고 생각하는 사람과 그 이유를 말해보세요"
"5663","고속도로를 이용할 때 불편했던 점이 무엇이었나요?"
"5664","교통사고 감소 방안에 대해 발표해보세요"
"5665","도로공사에서 사용하는 통신기술에 대해 아는 것이 있나요?"
"5666","비행기, 철도, 고속도로 중 가장 합리적이라 생각되는 교통 수단은 무엇이고 그 이유를 말해보세요"
"5667","전공을 바탕으로 한국도로공사에 어떤점을 발전 해 나갈 수 있나요?"
"5668","전국 고속도로에 CCTV가 몇개정도 있을 것 같나요?"
"5669","졸음 쉼터 사고 문제에 대해 어떻게 생각하는가?"
"5670","직장상사가 부당한 지시를 한다면 어떻게 할 것인가요?"
"5671","성과연봉제에 대해 어떻게 생각하나요?"
"5672","통행료 인상에 대한 본인의 생각을 말해보세요"
"5673","취미가 무엇입니까?"
"5674","본인의 일생에서 실망한 경험이 있나요?"
"5675","본인이 재미있어 했던 과목은 무엇인가요?"
"5676","부모님과 함께 살지 않는 이유는 무엇입니까?"
"5677","자기자신에게 실망한 적이 있다면, 그 이유를 말해보시오."
"5678","재미 있었던 과목과 그 이유를 말해보시오"
"5679","취미가 무엇입니까?"
"5680","취미와 특기에 대해 설명해보고 취미를 좋아하게 된 이유를 말해보시오."
"5681","형제가 어떻게 됩니까? 사이는 좋습니까?"
"5682","3가지 상황에서 어떤 경우 당신은 퇴사하겠는가? 1. 일이 엄청 힘들 때 2. 회사의 비전이 없다고 생각될 때 3. 사람관계가 안 좋을 때"
"5683","생산관리에 지원했는데 영업 등 서울에서 근무가 가능한지?"
"5684","최근 2~3주간 취업준비 빼고 열심히 한 일은 무엇이 있나요?"
"5685","군대에서 유류 관리병 햇는데, 거기서 뭘배웠나요?"
"5686","군대에서 땃던 자격증들이 각각 어떻게 도움이 됐나요?"
"5687","본인이 했던 여러 대외 활동들이 어떻게 직무에 작용하나요?"
"5688","지원자께서는 학점이 상당히 높은데 학점관리를 위한 특별한 방법이 있었나요?"
"5689","OOOO에서 인턴을 하셨고 그게 전환형이라고 하셨는데 본인께서는 안 되셨다고 하셨는데, 채용전환형 인턴에서 떨어졌다는 것은 회사 입장에서 전환될 사람을 고르는 게 아니라 떨어뜨리는 쪽으로 봤다고 할 수 있을 것 같은데 이에 대해서 어떻게 생각하시나요?"
"5690","범용 플라스틱에는 무엇무엇이 있나요?"
"5691","지원자께서는 학점이 상당히 높은데 학점관리를 위한 특별한 방법이 있었나요?"
"5692","OOOO에서 인턴을 하셨고 그게 전환형이라고 하셨는데 본인께서는 안 되셨다고 하셨는데, 채용전환형 인턴에서 떨어졌다는 것은 회사 입장에서 전환될 사람을 고르는 게 아니라 떨어뜨리는 쪽으로 봤다고 할 수 있을 것 같은데 이에 대해서 어떻게 생각하시나요?"
"5693","범용 플라스틱에는 무엇무엇이 있나요?"
"5694","어떻게 지원하게 되었는지?"
"5695","하고 싶은 말은?"
"5696","왜 인턴 경험이 없나?"
"5697","왜 이곳을 선택하였는지?"
"5698","자격증 공부를 좋아하는 것 같은데 회사 업무와의 트러블은 없는가?"
"5699","타 지원자보다 더 낫다고 생각하는것을 말해보시오"
"5700","학점이 낮은 이유에 대해서 설명해보라"
"5701","다양한 과외 활동들이 그만한 가치가 있었다고 생각하는가"
"5702","전공과 관련되어 기사 자격을 취득해보려고 하진 않았는가"
"5703","대학교 3, 4학년 때는 무엇을 했나요?"
"5704","생산관리 직무에 관련된 역량은 무엇이 있나요?"
"5705","석유화학의 미래에 대해 본인의 생각을 말해보세요"
"5706","왜 한화케미칼을 선택했나요?"
"5707","인생에서 도전 경험을 말해보세요"
"5708","졸업 유보를 오래했는데 그 기간동안 무엇을 했나요?"
"5709","취미가 무엇인가요?"
"5710","기업의 정도는 무엇인가요?"
"5711","본인 성격의 단점이 뭐라고 생각하나요?"
"5712","본인은 인생에서 어떤 가치를 중요하게 생각하나요??"
"5713","유리천장에 대해 어떻게 생각하나요?"
"5714","재무를 몸에 비유하면 어떤 장기에 비유할 수 있을까요?"
"5715","증권회사를 준비한거 같은데 왜 대기업 재무팀을 지원했나요?"
"5716","한화의 인재상은 무엇인가요?"
"5717","본인을 바이어라 생각하고 업무적으로 접근해보세요."
"5718","석유화학 산업에 대해 말해보세요."
"5719","현재 중국 시장은 어떠한지 말해보세요."
"5720","국토대장정이 그렇게 힘듭니까?"
"5721","평생동안 비누를 몇 개 쓸 것 같나요?"
"5722","한화에 대해 설명하세요."
"5723","좌우명이 후회하지 않는 것이라고 했는데, 인생에서 정말로 후회한 적이 없나?"
"5724","상사가 불합리하게 당신을 혼낸다면 어떻게 할 것인가?"
"5725","마지막으로 질문은 없나?"
"5726","펜스룰에 대한 생각은?"
"5727","공기업 합동채용에 대해 어떻게 생각하나요?"
"5728","본인의 장단점은?"
"5729","3년, 10년, 20년 후 구체적인 계획에 대해 말해보시오."
"5730","갈등 상황을 극복했던 예를 들어보시오."
"5731","근무하고 싶은 부서는 어디이며, 가고 싶은 부서는 왜 가고 싶은지 그 이유를 설명해보시오."
"5732","다른 기관들도 많은데, 수출입은행을 선택한 이유는 무엇인가?"
"5733","당신에게 정책 예산을 집행할 수 있는 권한이 있다면, 어느 분야에 예산을 더 줄 것인가?"
"5734","본인의 전공에 대해 설명하시오."
"5735","본인의 전공을 선택한 이유는 무엇인가? 전공에 흥미를 느꼈었는가?"
"5736","속담이나 명언 한가지를 선택하여 설명하시오."
"5737","기억에 남는 영화나 음악중 하나를 선택하여 면접관에게 추천하시오."
"5738","자기소개해보시오."
"5739","지원동기에 대해 말해보시오."
"5740","현재 상황과 본인의 전공을 어떻게 연관시킬 수 있을지 설명해보시오."
"5741","공백기 동안 무엇을 하였는가?"
"5742","오지 근무를 할 수 있는가?"
"5743","왜 공기업에 들어오고 싶은가?"
"5744","인터넷에서 자료를 찾을 때 활용하는 자신만의 방법이 있는가?"
"5745","입사 후 맡고 싶은 업무는?"
"5746","자신의 미래 묘비명을 작성해보세요"
"5747","취약산업에 대한 정책금융 지원에 대한 찬반토론"
"5748","고교평준화에 대해서 토론하세요"
"5749","다른 금융기관에 동시 합격하면 어디를 가시겠습니까?"
"5750","상사가 부당한 일을 시키면 어떻게 하시겠습니까?"
"5751","신용불량자 부채탕감에 대해서 토론하세요"
"5752","외국계자본 과연 먹튀인가?"
"5753","은행의 노조를 어떻게 생각하십니까? (한국에서의 노조에 대한 견해)"
"5754","자기소개를 해보시오"
"5755","한국수출입은행이 고객에 대해 어떠한 자세를 취해야 한다고 생각하십니까?"
"5756","입사 후 우리회사에서의 자신의 비전을 말해보세요"
"5757","재무제표에 대해 설명해보세요. 재무제표에서 어떤 것이 가장 중요하다고 생각하십니까?"
"5758","리더가 가져야하는 덕목이 무엇이라 생각하는가?"
"5759","중국ㅇㅇ대학교에서 유학했는데, 그 주변 환경을 중국어로 설명해보세요."
"5760","어떤 사업부문 맡고 싶은지? 그 이유는?"
"5761","영업인으로서 필요한 능력은?"
"5762","인성 - 공백기가 긴데 무엇을 하였는가?"
"5763","인성 - 공공기관에서 데이터 분석에 관련된 일을 하였는데 만약 상급자가 데이터 조작을 지시한다면 어떻게 하겠는가?"
"5764","직무 - 본인의 전공과 회사의 연구가 다소 차이가 있는 것 같은데 잘 할 수 있겠는가?"
"5765","다른곳에서 인턴 제의가 온다면"
"5766","천안근무가 가능한가?"
"5767","마지막 할말"
"5768","반도체 수율 개선을 어떻게 할 것인지 말해보아라."
"5769","여자친구를 어떻게 사귀게 되었는가?"
"5770","대기업의 장점과 단점에는 무엇이 있다고 생각하는가?"
"5771","우리 대표팀의 문제점은 뭐라고 생각하는가?"
"5772","축구 국가대표 평가전을 시청했는가?"
"5773","기계를 전공했는데 IT분야에서 무엇을 할 수 있겠나?"
"5774","대학 시절 학점이 낮은 이유는?(인턴)"
"5775","본인 혼자서 책임지지 못할 정도의 문제가 발생하면 어떻게 할 것인가?"
"5776","입사를 하고 부서 배정시 희망부서가 아닌 다른 부서로 배치된다면 어떻게 할 것인가?"
"5777","프로젝트 수행했던 경력으로 미루어 볼 때, 비슷한 프로젝트를 삼성전기에서 수행할 경우, 성과가 나올 때까지 걸릴 시간은 얼마나 되겠는가?"
"5778","회사에 노조가 없는 이유는 무엇이라고 생각하는가?"
"5779","사회성이 떨어지는 사람이 있다면, 그를 어떤 식으로 포용할 것인가?"
"5780","왜 공기업을 가지 않고 우리 회사를 지원하는가?"
"5781","하자가 있는 제품을 가지고 영업해야하는 입장에서 어떻게 할 것인가?"
"5782","최근에 친구들과 기억에 남는 경험이 있나요"
"5783","가장 창의적으로 했던 일은 무엇인가요?"
"5784","노조에 대해 어떻게 생각하나요?"
"5785","마지막으로 하고 싶은 말이나 질문 있으면 해보세요"
"5786","만약 합격한다면, 왜 당신이 합격했을 것이라 생각하는가?"
"5787","삼성전기에 대해 아는데로 말해보세요"
"5788","이번 선거에서 어느 당이 우세할 것 같은가요?"
"5789","좋아하는 운동이 있나요?"
"5790","취미가 무엇인가요?"
"5791","회사에 대해 궁금한게 있으면 물어보세요."
"5792","사회의 부조리에 대해 말해보라"
"5793","고졸인데 대기업에 채용될 가능성이 있다고 생각하는가"
"5794","부당한 경우 노조에 참여할 생각이 있는가?"
"5795","자기소개 및 본인의 장단점 그리고 지금까지 공부해온 방향과 앞으로의 미래와 전망을 바탕으로 발표하세요"
"5796","전노조에 대해 어떻게 생각하는가?"
"5797","봉사활동은 얼마나 하나?"
"5798","애플과 삼성이 소송중인데 어떻게 생각하나요?"
"5799","주량은 어떻게 되나?"
"5800","지금 어떤 핸드폰 사용중이신가요?"
"5801","최근에 읽은 책을 말해보라"
"5802","힘들었던 경험과 극복하면서 얻었던 것은 무엇인가?"
"5803","덕장 및 지장 그리고 용장 중 어떤 리더에 속하는 것 같은가?"
"5804","마지막으로 하고 싶은 말은 무엇인가?"
"5805","시민단체의 기업참여에 대해 어떻게 생각하는가?"
"5806","시험준비를 한 이유를 말해보세요"
"5807","입사해서 10년후에 본인의 꿈은 무엇인가?"
"5808","학교도 좋은데 다니고 부모님도 속상하게 해드리는 일도 없을꺼같은데 어려움 있었는가?"
"5809","휴학기간이 2년동안 있는데 무엇을 했는가?"
"5810","대학생되서 어떤 활동을 주로 했는가?"
"5811","본인의 장점은?"
"5812","건설현장기사 경험이 있는데, 그 일을 하면서 가장 어려웠던 점은 무엇인가?"
"5813","건축이란 무엇이라 생각하는가?"
"5814","대우건설에 대해 어떻게 공부하였는가?"
"5815","지원동기에 대해 말해보시오."
"5816","(협상 면접) 설비시공업체와 시행사 간 협상을 해보시오."
"5817","건설과정의 전반적인 프로세스에대해 말해보세요"
"5818","대우에서 이루고자하는 것은 무엇인가요?"
"5819","무언가를 달성하기 위해목표를 세우고 2~3년간 노력해서 목표를 달성한 경험이 있나요?"
"5820","시공현장에서 3가지 요소가 중요한데 공기 단축, 공정 관리, 나머지 하나는 무엇인지 말해보세요"
"5821","영어로 지원한 업무에 대하여 설명해 보세요"
"5822","왜 대우건설인가요??"
"5823","윤리적으로 행동했던 경험을 말해보세요"
"5824","팀 프로젝트를 하면서 힘들었던 일은 무엇이었나요?"
"5825","편입 후 전공을 변경했는데 전공수업에서 힘든건 없었나요?"
"5826","편입을 한 이유가 무엇인가요?"
"5827","현장에서 잘 견딜 수 있나요?"
"5828","세계화란 무엇이며, 우리나라가 강대국에 의존하게 되는 이유는 무엇인가?"
"5829","후회되는 일이 있다면?"
"5830","기사 자격증 공부는 어떻게 하셨습니까?"
"5831","대우건설에 대해 많은 조사를 하셨을 텐데, 어떤 점이 본인을 대우건설에 지원하게 만들었나요?"
"5832","화력발전소 견학을 하셨던데, 견학 가서 가장 인상 깊었던 설비는 무엇이었고, 또 견학을 통해 무엇을 느꼈나요?"
"5833","논리면접)페르미추정문제였습니다. 어떤 호텔을 제시한 후 일일 투숙객을 구하라"
"5834","실무진면접)대우건설에 대해 어떻게 공부하였는가?"
"5835","실무진면접)대우건설이 2006년도에 시공평가1위를 한 적이 있는데 그 이유는 무엇이라 생각하는가?"
"5836","실무진면접)마지막으로 하고싶은 말은?"
"5837","협상면접)건자재회사와 시공회사간의 협상면접"
"5838","원하는 업무를 하지 못한다면 어떻게 할 것인가?"
"5839","입사 후 하고 싶은 일을 말해보세요"
"5840","건설업에 왜 관심이 생겼는가?"
"5841","대우건설만의 특별함이 뭐라고 생각하는가?"
"5842","상대방보다 더 유리한 조건으로 계약을 체결해보세요."
"5843","자신의 한계를 넘어서 결과를 이루었던 적이 있는가?"
"5844","전공 분야를 직무에 어떻게 활용할 수 있나요?"
"5845","전공이 전기 전자인데, 전자 산업 대신 건설업을 택한 이유는?"
"5846","해외 근무가 많을 텐데, 가족들이 반대할 경우 본인은 어떻게 할 것인가?"
"5847","능력보다 높게 목표를 세우고 성취한 경험이 있는가?"
"5848","아르바이트를 한 이유는 무엇인가?"
"5849","지원직무에 대해 지금까지 본인이 준비해 온 것이 무엇인가요?"
"5850","왜 건설사를 지원했는가?"
"5851","전공외에 공부한 것이 있는가?"
"5852","1분 자기소개를 해보세요."
"5853","자신이 할수있는 엑셀중에 주로 사용하는 기능과 가장 어려운 엑셀 기능이 뭔가요?"
"5854","자신의 장점 단점이 무엇인가요?"
"5855","어떠한 일이나 문제가 발생했을 때 그것을 개선하거나 해결하기 위해서 창의적인 방법으로 접근했던 경험을 말해보시오"
"5856","새로운 동료와 팀을 이뤄 공동으로 일하게 되었다 업무처리방식이 달라 자주 충돌하는데 당신이라면 어떻게 대처하겠는가?"
"5857","아버지는 어떤 일을 하고 계신가? 어디에서 근무하시는가?"
"5858","지원한 파트에 대해 무슨 일을 하는 곳인지 아는가?"
"5859","4년제 대학을 자퇴한 이유는 무엇인가?"
"5860","가장 자랑스러웠던 일은 무엇인가?"
"5861","가장 힘들었던 일을 말해보세요"
"5862","가지고 있는 자격증이 있는가?"
"5863","고등학교 시절 기억에 남는 일을 말해보세요"
"5864","고등학교가 인문계인가?"
"5865","공백기간동안 무엇을 했는가?"
"5866","공작기계를 지원한 이유는 무엇인가?"
"5867","기계과로 전공을 선택한 특별한 이유가 있는가?"
"5868","다른 회사를 지원했는데 우리 회사에 지원한 이유는 무엇인가?"
"5869","대학교를 한국 폴리텍으로 간 이유가 무엇인가?"
"5870","대학생활을 하면서 실패했던 경험이 있는가?"
"5871","돈은 얼마나 모았나?"
"5872","두산 인프라코어에 지원한 이유는 무엇인가?"
"5873","두산인프라코어에 들어오기 위해 남다른 노력을 한 것이 있는가?"
"5874","마지막으로 하고 싶은 말이 있는가?"
"5875","본인의 장점을 경험담으로 말해보세요"
"5876","본인이 가장 힘들었던 때는 언제인가?"
"5877","본인이 배운 지식을 어떻게 우리 회사에서 이용할 것인가?"
"5878","본인이 창의적으로 한 일이 있는가?"
"5879","수상 내역에 대해 말해보세요"
"5880","술을 좋아하는가?"
"5881","아버지는 무슨 일을 하시는가?"
"5882","어디서 왔는가?"
"5883","어려운 일에서 성공했던 일을 말해보세요"
"5884","엔지니어로서의 어떠한 강점이 있는가?"
"5885","오토캐드 자격증을 딴 동기가 있는가?"
"5886","용접산업기사 시험에서 떨어진 이유는 무엇인가?"
"5887","우리회사에 아는 지인이 있는가?"
"5888","운동을 그만 둔 이유는 무엇인가?"
"5889","자신에게 힘이 되는 사람이 있는가?"
"5890","자신의 성격은 어떠한가?"
"5891","자신이 살아오면서 남들과는 다른 자신만의 노력을 한 적이 있는가?"
"5892","전 직장에서 무슨 업무를 맡았나?"
"5893","전공을 바꾼 이유를 말해보세요"
"5894","주말에는 무엇을 하며 지내는가?"
"5895","지방근무가 가능한가?"
"5896","지원 동기는 무엇인가?"
"5897","지원한 직무에서 이루고 싶은 목표가 무엇인가?"
"5898","직장상사와 A씨가 함께 프로젝트를 진행하는 가운데 직장상사가 이직을 하였다 이후 A씨 혼자 프로젝트를 참여했고 이직한 직장상사가 프로젝트의 결과물을 A씨에게 요청하여 A씨는 주었다. A씨는 잘한 건가?"
"5899","진로를 바꾼 이유는 무엇인가?"
"5900","체력을 기르기 위해서 하는 것이 있는가?"
"5901","타사를 지원한 곳이 있는가?"
"5902","태권도 4단 자격증이 있는데 태권도 선수생활을 했는가?"
"5903","택배가 배달되었습니다 그런데 물건의 발신처가 거래처나 경쟁회사라면 열어보겠는가?(물건은 무엇인지 모른다)"
"5904","특기가 등산인데 가장 기억에 남는 산은 어디인가?"
"5905","학교 다닐 때 성적이 좋았는가?"
"5906","학교 졸업 후 또는 군대 제대 후 무슨 일을 하였는가? 지금은 무엇을 하고 있는가?"
"5907","학창시절에 자기계발을 하기 위해 무엇을 했는가?"
"5908","회사생활 또는 학교생활을 하면서 본인이 아이디어를 내서 일을 쉽게 처리한 기억이 있는가?"
"5909","휴학 기간 동안 무엇을 했는가?"
"5910","관성모멘트에 대해 설명해보라"
"5911","동아리활동이나 봉사활동을 한 경험이 있는가?"
"5912","멘토는 누구인가?"
"5913","안전계수에 대해 설명해보라"
"5914","지금까지 살아 오면서 큰시련이 있었다면 언제인가?"
"5915","파스칼의 원리에 대해 설명해보라"
"5916","학교에서 프로젝트에 참여한 적이 있는가?"
"5917","중국 특정 도시의 LG생활건강 진출 방안에 대해 말해보세요."
"5918","다른 사람들이 자신을 어떻게 평가하나요?"
"5919","마지막으로 할 말이 있습니까?"
"5920","모병제에 관해 어떻게 생각하십니까?"
"5921","알파고가 우리에게 미치는 영향으로는 무엇이 있을까요?"
"5922","영어 잘하나요? 어느 정도 잘하나요?"
"5923","왜 영업직무에 지원하였습니까?"
"5924","왜 지원자가 이 자리에 오게 되었는지 말해보세요."
"5925","입사해서 무엇을 하고 싶습니까?"
"5926","자기소개 해보세요."
"5927","자기소개서에 적혀 있는 제2외국어 실력이 어느 정도 됩니까?"
"5928","전공과 전혀 관련 없는 영업관리 직무에 지원한 이유는 무엇입니까?"
"5929","졸업한 대학의 대학원에서 석사 과정을 마치지 않고, 왜 다른 대학원으로 옮겨서 석사 과정을 마쳤습니까? 즉, 학사에서 석사로 진학할 때 학교를 옮긴 이유는 무엇입니까?"
"5930","지원자의 단점은 무엇입니까? 그리고 단점을 어떻게 극복할 것인지 말해보세요."
"5931","LG생활건강의 제품을 열거해보세요."
"5932","1분 자기소개 해보세요."
"5933","교환학생과 여행을 특정 지역으로 간 이유는 무엇입니까?"
"5934","도전적이었던 경험에 대해 말해보세요."
"5935","석사 때 했던 연구와 직무를 어떻게 연관시킬 수 있을지 말해보세요."
"5936","자기소개 해보세요."
"5937","자소서에 나와 있는 학회 발표 경험에 대해 자세히 얘기해보세요."
"5938","지원동기는 무엇입니까?"
"5939","지원자의 장점은 무엇입니까?"
"5940","창의적이었던 경험에 대해 말해보세요."
"5941","가장 인상 깊은 뉴스으로는 무엇이 있는가?"
"5942","공장에 들어오면서 눈에 띄는 점이 있었는가?"
"5943","전기기사는 어떻게 취득하게 되었는가?"
